n,design,family,sdratio,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
20,2x3,norm,2,RNK,0.05,0,0,0,0.07,0.06,0.03
20,2x3,norm,2,ART,0.05,0,0,0,0.07,0.07,0.06
20,2x3,norm,2,INT,0.05,0,0,0,0.04,0.04,0.04
20,2x3,norm,2,PAR,0.01,0,0,0,0,0.01,0
20,2x3,norm,2,RNK,0.01,0,0,0,0,0,0.01
20,2x3,norm,2,ART,0.01,0,0,0,0.01,0.01,0
20,2x3,norm,2,INT,0.01,0,0,0,0,0.01,0
20,2x3,norm,2.5,PAR,0.05,0,0,0,0.03,0.08,0.04
20,2x3,norm,2.5,RNK,0.05,0,0,0,0.06,0.08,0.03
20,2x3,norm,2.5,ART,0.05,0,0,0,0.04,0.12,0.06
20,2x3,norm,2.5,INT,0.05,0,0,0,0.02,0.08,0.05
20,2x3,norm,2.5,PAR,0.01,0,0,0,0,0.04,0
20,2x3,norm,2.5,RNK,0.01,0,0,0,0.01,0.03,0
20,2x3,norm,2.5,ART,0.01,0,0,0,0.01,0.04,0.01
20,2x3,norm,2.5,INT,0.01,0,0,0,0,0.03,0
20,2x3,norm,3,PAR,0.05,0,0,0,0.06,0.03,0.03
20,2x3,norm,3,RNK,0.05,0,0,0,0.1,0.05,0.04
20,2x3,norm,3,ART,0.05,0,0,0,0.1,0.14,0.08
20,2x3,norm,3,INT,0.05,0,0,0,0.04,0.03,0.04
20,2x3,norm,3,PAR,0.01,0,0,0,0.01,0,0
20,2x3,norm,3,RNK,0.01,0,0,0,0.02,0.01,0.01
20,2x3,norm,3,ART,0.01,0,0,0,0.03,0.05,0.05
20,2x3,norm,3,INT,0.01,0,0,0,0.01,0.01,0
20,2x3,likert_5_flex,1,PAR,0.05,0,0,0,0.03,0.06,0.05
20,2x3,likert_5_flex,1,RNK,0.05,0,0,0,0.05,0.04,0.06
20,2x3,likert_5_flex,1,ART,0.05,0,0,0,0.08,0.04,0.06
20,2x3,likert_5_flex,1,INT,0.05,0,0,0,0.04,0.05,0.07
20,2x3,likert_5_flex,1,PAR,0.01,0,0,0,0.01,0,0.01
20,2x3,likert_5_flex,1,RNK,0.01,0,0,0,0.02,0.01,0.01
20,2x3,likert_5_flex,1,ART,0.01,0,0,0,0.01,0.02,0.01
20,2x3,likert_5_flex,1,INT,0.01,0,0,0,0.01,0,0.01
20,2x3,likert_5_flex,1.5,PAR,0.05,0,0,0,0.09,0.06,0.07
20,2x3,likert_5_flex,1.5,RNK,0.05,0,0,0,0.06,0.07,0.06
20,2x3,likert_5_flex,1.5,ART,0.05,0,0,0,0.11,0.13,0.1
20,2x3,likert_5_flex,1.5,INT,0.05,0,0,0,0.07,0.08,0.06
20,2x3,likert_5_flex,1.5,PAR,0.01,0,0,0,0.02,0.02,0.02
20,2x3,likert_5_flex,1.5,RNK,0.01,0,0,0,0.01,0.02,0.02
20,2x3,likert_5_flex,1.5,ART,0.01,0,0,0,0.03,0.04,0.04
20,2x3,likert_5_flex,1.5,INT,0.01,0,0,0,0.01,0.03,0.02
20,2x3,likert_5_flex,2,PAR,0.05,0,0,0,0.19,0.1,0.05
20,2x3,likert_5_flex,2,RNK,0.05,0,0,0,0.09,0.09,0.07
20,2x3,likert_5_flex,2,ART,0.05,0,0,0,0.23,0.2,0.17
20,2x3,likert_5_flex,2,INT,0.05,0,0,0,0.13,0.08,0.07
20,2x3,likert_5_flex,2,PAR,0.01,0,0,0,0.07,0,0.03
20,2x3,likert_5_flex,2,RNK,0.01,0,0,0,0.03,0.02,0.03
20,2x3,likert_5_flex,2,ART,0.01,0,0,0,0.08,0.06,0.07
20,2x3,likert_5_flex,2,INT,0.01,0,0,0,0.04,0.01,0.03
20,2x3,likert_5_flex,2.5,PAR,0.05,0,0,0,0.26,0.08,0.09
20,2x3,likert_5_flex,2.5,RNK,0.05,0,0,0,0.16,0.07,0.07
20,2x3,likert_5_flex,2.5,ART,0.05,0,0,0,0.16,0.21,0.19
20,2x3,likert_5_flex,2.5,INT,0.05,0,0,0,0.14,0.07,0.09
20,2x3,likert_5_flex,2.5,PAR,0.01,0,0,0,0.12,0,0
20,2x3,likert_5_flex,2.5,RNK,0.01,0,0,0,0.08,0.01,0.01
20,2x3,likert_5_flex,2.5,ART,0.01,0,0,0,0.11,0.03,0.1
20,2x3,likert_5_flex,2.5,INT,0.01,0,0,0,0.06,0.01,0.01
20,2x3,likert_5_flex,3,PAR,0.05,0,0,0,0.32,0.04,0.02
20,2x3,likert_5_flex,3,RNK,0.05,0,0,0,0.18,0.05,0.02
20,2x3,likert_5_flex,3,ART,0.05,0,0,0,0.27,0.18,0.2
20,2x3,likert_5_flex,3,INT,0.05,0,0,0,0.2,0.05,0.02
20,2x3,likert_5_flex,3,PAR,0.01,0,0,0,0.19,0,0
20,2x3,likert_5_flex,3,RNK,0.01,0,0,0,0.08,0,0
20,2x3,likert_5_flex,3,ART,0.01,0,0,0,0.17,0.05,0.08
20,2x3,likert_5_flex,3,INT,0.01,0,0,0,0.09,0,0
20,2x4,norm,1,PAR,0.05,0,0,0,0.03,0.04,0.03
20,2x4,norm,1,RNK,0.05,0,0,0,0.04,0.07,0.03
20,2x4,norm,1,ART,0.05,0,0,0,0.03,0.07,0.03
20,2x4,norm,1,INT,0.05,0,0,0,0.04,0.03,0.03
20,2x4,norm,1,PAR,0.01,0,0,0,0.01,0.01,0
20,2x4,norm,1,RNK,0.01,0,0,0,0.01,0,0
20,2x4,norm,1,ART,0.01,0,0,0,0.01,0,0
20,2x4,norm,1,INT,0.01,0,0,0,0.01,0.01,0
20,2x4,norm,1.5,PAR,0.05,0,0,0,0.03,0.06,0.04
20,2x4,norm,1.5,RNK,0.05,0,0,0,0.02,0.04,0.02
20,2x4,norm,1.5,ART,0.05,0,0,0,0.03,0.06,0.03
20,2x4,norm,1.5,INT,0.05,0,0,0,0.02,0.05,0.04
20,2x4,norm,1.5,PAR,0.01,0,0,0,0,0,0
20,2x4,norm,1.5,RNK,0.01,0,0,0,0,0,0
20,2x4,norm,1.5,ART,0.01,0,0,0,0,0.02,0
20,2x4,norm,1.5,INT,0.01,0,0,0,0,0,0
20,2x4,norm,2,PAR,0.05,0,0,0,0.05,0.02,0.05
20,2x4,norm,2,RNK,0.05,0,0,0,0.03,0.02,0.03
20,2x4,norm,2,ART,0.05,0,0,0,0.02,0.03,0.09
20,2x4,norm,2,INT,0.05,0,0,0,0.03,0.02,0.04
20,2x4,norm,2,PAR,0.01,0,0,0,0,0,0.01
20,2x4,norm,2,RNK,0.01,0,0,0,0,0,0.01
20,2x4,norm,2,ART,0.01,0,0,0,0,0.01,0.03
20,2x4,norm,2,INT,0.01,0,0,0,0,0,0.01
20,2x4,norm,2.5,PAR,0.05,0,0,0,0.03,0.02,0.03
20,2x4,norm,2.5,RNK,0.05,0,0,0,0.05,0.02,0.05
20,2x4,norm,2.5,ART,0.05,0,0,0,0.05,0.08,0.11
20,2x4,norm,2.5,INT,0.05,0,0,0,0.04,0.01,0.04
20,2x4,norm,2.5,PAR,0.01,0,0,0,0.01,0,0
20,2x4,norm,2.5,RNK,0.01,0,0,0,0,0.01,0.02
20,2x4,norm,2.5,ART,0.01,0,0,0,0,0.01,0.03
20,2x4,norm,2.5,INT,0.01,0,0,0,0,0,0.02
20,2x4,norm,3,PAR,0.05,0,0,0,0.09,0.11,0.1
20,2x4,norm,3,RNK,0.05,0,0,0,0.06,0.08,0.08
20,2x4,norm,3,ART,0.05,0,0,0,0.07,0.2,0.19
20,2x4,norm,3,INT,0.05,0,0,0,0.04,0.1,0.09
20,2x4,norm,3,PAR,0.01,0,0,0,0.01,0.04,0.01
20,2x4,norm,3,RNK,0.01,0,0,0,0.03,0.01,0.01
20,2x4,norm,3,ART,0.01,0,0,0,0.02,0.1,0.07
20,2x4,norm,3,INT,0.01,0,0,0,0,0.03,0.02
20,2x4,likert_5_flex,1,PAR,0.05,0,0,0,0.06,0.04,0.09
20,2x4,likert_5_flex,1,RNK,0.05,0,0,0,0.06,0.05,0.08
20,2x4,likert_5_flex,1,ART,0.05,0,0,0,0.1,0.09,0.1
20,2x4,likert_5_flex,1,INT,0.05,0,0,0,0.06,0.05,0.07
20,2x4,likert_5_flex,1,PAR,0.01,0,0,0,0,0.02,0.01
20,2x4,likert_5_flex,1,RNK,0.01,0,0,0,0.01,0.02,0.01
20,2x4,likert_5_flex,1,ART,0.01,0,0,0,0.02,0.02,0.03
20,2x4,likert_5_flex,1,INT,0.01,0,0,0,0.01,0.02,0.01
20,2x4,likert_5_flex,1.5,PAR,0.05,0,0,0,0.1,0.01,0.01
20,2x4,likert_5_flex,1.5,RNK,0.05,0,0,0,0.07,0.01,0.01
20,2x4,likert_5_flex,1.5,ART,0.05,0,0,0,0.11,0.05,0.13
20,2x4,likert_5_flex,1.5,INT,0.05,0,0,0,0.07,0.01,0.01
20,2x4,likert_5_flex,1.5,PAR,0.01,0,0,0,0.02,0.01,0
20,2x4,likert_5_flex,1.5,RNK,0.01,0,0,0,0,0.01,0
20,2x4,likert_5_flex,1.5,ART,0.01,0,0,0,0.05,0.01,0.04
20,2x4,likert_5_flex,1.5,INT,0.01,0,0,0,0,0,0
20,2x4,likert_5_flex,2,PAR,0.05,0,0,0,0.19,0.01,0.06
20,2x4,likert_5_flex,2,RNK,0.05,0,0,0,0.11,0.01,0.04
20,2x4,likert_5_flex,2,ART,0.05,0,0,0,0.2,0.13,0.15
20,2x4,likert_5_flex,2,INT,0.05,0,0,0,0.12,0.02,0.04
20,2x4,likert_5_flex,2,PAR,0.01,0,0,0,0.07,0.01,0.02
20,2x4,likert_5_flex,2,RNK,0.01,0,0,0,0.04,0.01,0.02
20,2x4,likert_5_flex,2,ART,0.01,0,0,0,0.08,0.02,0.05
20,2x4,likert_5_flex,2,INT,0.01,0,0,0,0.02,0.01,0.02
20,2x4,likert_5_flex,2.5,PAR,0.05,0,0,0,0.41,0.08,0.07
20,2x4,likert_5_flex,2.5,RNK,0.05,0,0,0,0.21,0.07,0.08
20,2x4,likert_5_flex,2.5,ART,0.05,0,0,0,0.23,0.23,0.24
20,2x4,likert_5_flex,2.5,INT,0.05,0,0,0,0.21,0.08,0.08
20,2x4,likert_5_flex,2.5,PAR,0.01,0,0,0,0.2,0,0.01
20,2x4,likert_5_flex,2.5,RNK,0.01,0,0,0,0.07,0.02,0.01
20,2x4,likert_5_flex,2.5,ART,0.01,0,0,0,0.15,0.07,0.13
20,2x4,likert_5_flex,2.5,INT,0.01,0,0,0,0.08,0.01,0.01
20,2x4,likert_5_flex,3,PAR,0.05,0,0,0,0.41,0.08,0.08
20,2x4,likert_5_flex,3,RNK,0.05,0,0,0,0.19,0.07,0.02
20,2x4,likert_5_flex,3,ART,0.05,0,0,0,0.3,0.26,0.27
20,2x4,likert_5_flex,3,INT,0.05,0,0,0,0.21,0.05,0.04
20,2x4,likert_5_flex,3,PAR,0.01,0,0,0,0.21,0,0
20,2x4,likert_5_flex,3,RNK,0.01,0,0,0,0.13,0,0.01
20,2x4,likert_5_flex,3,ART,0.01,0,0,0,0.2,0.13,0.12
20,2x4,likert_5_flex,3,INT,0.01,0,0,0,0.11,0.01,0.01
