n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
32,4x3,likert_5,PAR,0.05,0,0,0,0,0.2,0
32,4x3,likert_5,RNK,0.05,0,0,0,0,0.2,0
32,4x3,likert_5,ART,0.05,0,0,0,0,0.2,0
32,4x3,likert_5,INT,0.05,0,0,0,0,0.2,0
32,4x3,likert_5,PAR,0.01,0,0,0,0,0,0
32,4x3,likert_5,RNK,0.01,0,0,0,0,0,0
32,4x3,likert_5,ART,0.01,0,0,0,0,0,0
32,4x3,likert_5,INT,0.01,0,0,0,0,0,0
64,4x3,likert_5,PAR,0.05,0,0,0,0,0,0
64,4x3,likert_5,RNK,0.05,0,0,0,0,0,0
64,4x3,likert_5,ART,0.05,0,0,0,0,0,0
64,4x3,likert_5,INT,0.05,0,0,0,0,0,0
64,4x3,likert_5,PAR,0.01,0,0,0,0,0,0
64,4x3,likert_5,RNK,0.01,0,0,0,0,0,0
64,4x3,likert_5,ART,0.01,0,0,0,0,0,0
64,4x3,likert_5,INT,0.01,0,0,0,0,0,0
128,4x3,likert_5,PAR,0.05,0,0,0,0.1,0,0.1
128,4x3,likert_5,RNK,0.05,0,0,0,0.2,0,0.1
128,4x3,likert_5,ART,0.05,0,0,0,0.3,0.1,0.1
128,4x3,likert_5,INT,0.05,0,0,0,0.1,0,0.1
128,4x3,likert_5,PAR,0.01,0,0,0,0,0,0
128,4x3,likert_5,RNK,0.01,0,0,0,0,0,0
128,4x3,likert_5,ART,0.01,0,0,0,0.2,0,0
128,4x3,likert_5,INT,0.01,0,0,0,0,0,0
256,4x3,likert_5,PAR,0.05,0,0,0,0,0,0
256,4x3,likert_5,RNK,0.05,0,0,0,0,0,0.1
256,4x3,likert_5,ART,0.05,0,0,0,0.2,0.1,0.4
256,4x3,likert_5,INT,0.05,0,0,0,0,0,0.1
256,4x3,likert_5,PAR,0.01,0,0,0,0,0,0
256,4x3,likert_5,RNK,0.01,0,0,0,0,0,0
256,4x3,likert_5,ART,0.01,0,0,0,0,0,0.2
256,4x3,likert_5,INT,0.01,0,0,0,0,0,0
512,4x3,likert_5,PAR,0.05,0,0,0,0.2,0,0
