n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
20,4x3,binom_5_05,PAR,0.05,0,0,0,0.0446,0.0508,0.0494
20,4x3,binom_5_05,RNK,0.05,0,0,0,0.046,0.0502,0.054
20,4x3,binom_5_05,ART,0.05,0,0,0,0.304,0.2798,0.2246
20,4x3,binom_5_05,INT,0.05,0,0,0,0.0454,0.0488,0.0506
20,4x3,binom_5_05,PAR,0.01,0,0,0,0.008,0.009,0.0088
20,4x3,binom_5_05,RNK,0.01,0,0,0,0.0092,0.0094,0.0094
20,4x3,binom_5_05,ART,0.01,0,0,0,0.176,0.155,0.113
20,4x3,binom_5_05,INT,0.01,0,0,0,0.0076,0.009,0.0094
20,4x3,binom_5_05,PAR,0.05,0.5,0,0,0.2066,0.052,0.0506
20,4x3,binom_5_05,RNK,0.05,0.5,0,0,0.1924,0.0502,0.0496
20,4x3,binom_5_05,ART,0.05,0.5,0,0,0.4102,0.3012,0.2554
20,4x3,binom_5_05,INT,0.05,0.5,0,0,0.2054,0.052,0.0494
20,4x3,binom_5_05,PAR,0.01,0.5,0,0,0.0766,0.0074,0.0104
20,4x3,binom_5_05,RNK,0.01,0.5,0,0,0.069,0.0098,0.0102
20,4x3,binom_5_05,ART,0.01,0.5,0,0,0.2602,0.1738,0.1252
20,4x3,binom_5_05,INT,0.01,0.5,0,0,0.074,0.0092,0.0108
20,4x3,binom_5_05,PAR,0.05,1,0,0,0.6438,0.05,0.0562
20,4x3,binom_5_05,RNK,0.05,1,0,0,0.623,0.0496,0.0524
20,4x3,binom_5_05,ART,0.05,1,0,0,0.6656,0.3556,0.2788
20,4x3,binom_5_05,INT,0.05,1,0,0,0.645,0.0494,0.0552
20,4x3,binom_5_05,PAR,0.01,1,0,0,0.404,0.0084,0.012
20,4x3,binom_5_05,RNK,0.01,1,0,0,0.3824,0.0104,0.0092
20,4x3,binom_5_05,ART,0.01,1,0,0,0.5056,0.2302,0.1516
20,4x3,binom_5_05,INT,0.01,1,0,0,0.403,0.009,0.0112
20,4x3,binom_5_05,PAR,0.05,2,0,0,0.9926,0.052,0.0614
20,4x3,binom_5_05,RNK,0.05,2,0,0,0.9914,0.0514,0.057
20,4x3,binom_5_05,ART,0.05,2,0,0,0.9564,0.4998,0.3724
20,4x3,binom_5_05,INT,0.05,2,0,0,0.993,0.0504,0.0586
20,4x3,binom_5_05,PAR,0.01,2,0,0,0.9624,0.0096,0.0168
20,4x3,binom_5_05,RNK,0.01,2,0,0,0.9652,0.0104,0.0118
20,4x3,binom_5_05,ART,0.01,2,0,0,0.9018,0.358,0.2288
20,4x3,binom_5_05,INT,0.01,2,0,0,0.9664,0.0098,0.0156
20,4x3,binom_5_05,PAR,0.05,4,0,0,1,0.047,0.0756
20,4x3,binom_5_05,RNK,0.05,4,0,0,1,0.0468,0.0694
20,4x3,binom_5_05,ART,0.05,4,0,0,0.9952,0.7534,0.6038
20,4x3,binom_5_05,INT,0.05,4,0,0,1,0.0468,0.0706
20,4x3,binom_5_05,PAR,0.01,4,0,0,0.9998,0.0102,0.0296
20,4x3,binom_5_05,RNK,0.01,4,0,0,0.9998,0.0102,0.0282
20,4x3,binom_5_05,ART,0.01,4,0,0,0.9866,0.6546,0.4402
20,4x3,binom_5_05,INT,0.01,4,0,0,0.9998,0.0104,0.0292
20,4x3,binom_5_05,PAR,0.05,8,0,0,1,0.0438,0.0918
20,4x3,binom_5_05,RNK,0.05,8,0,0,1,0.0476,0.0872
20,4x3,binom_5_05,ART,0.05,8,0,0,0.9974,0.927,0.826
20,4x3,binom_5_05,INT,0.05,8,0,0,1,0.0466,0.0924
20,4x3,binom_5_05,PAR,0.01,8,0,0,1,0.009,0.04
20,4x3,binom_5_05,RNK,0.01,8,0,0,1,0.0108,0.0348
20,4x3,binom_5_05,ART,0.01,8,0,0,0.9944,0.891,0.7048
20,4x3,binom_5_05,INT,0.01,8,0,0,1,0.0108,0.039
20,4x3,binom_5_05,PAR,0.05,0.5,0.5,0,0.2044,0.2788,0.0524
20,4x3,binom_5_05,RNK,0.05,0.5,0.5,0,0.1934,0.2666,0.054
20,4x3,binom_5_05,ART,0.05,0.5,0.5,0,0.4598,0.4628,0.3092
20,4x3,binom_5_05,INT,0.05,0.5,0.5,0,0.2044,0.2812,0.0542
20,4x3,binom_5_05,PAR,0.01,0.5,0.5,0,0.0702,0.1156,0.0104
20,4x3,binom_5_05,RNK,0.01,0.5,0.5,0,0.0674,0.1122,0.0104
20,4x3,binom_5_05,ART,0.01,0.5,0.5,0,0.2994,0.3074,0.1702
20,4x3,binom_5_05,INT,0.01,0.5,0.5,0,0.072,0.1168,0.0104
20,4x3,binom_5_05,PAR,0.05,1,1,0,0.66,0.7904,0.1088
20,4x3,binom_5_05,RNK,0.05,1,1,0,0.6352,0.7622,0.087
20,4x3,binom_5_05,ART,0.05,1,1,0,0.7604,0.806,0.5574
20,4x3,binom_5_05,INT,0.05,1,1,0,0.6552,0.7854,0.1
20,4x3,binom_5_05,PAR,0.01,1,1,0,0.4172,0.565,0.032
20,4x3,binom_5_05,RNK,0.01,1,1,0,0.3988,0.5412,0.025
20,4x3,binom_5_05,ART,0.01,1,1,0,0.6176,0.6904,0.3948
20,4x3,binom_5_05,INT,0.01,1,1,0,0.4248,0.566,0.0282
20,4x3,binom_5_05,PAR,0.05,2,2,0,0.991,0.999,0.6608
20,4x3,binom_5_05,RNK,0.05,2,2,0,0.9894,0.9986,0.5242
20,4x3,binom_5_05,ART,0.05,2,2,0,0.9742,0.9874,0.9502
20,4x3,binom_5_05,INT,0.05,2,2,0,0.991,0.9988,0.6152
20,4x3,binom_5_05,PAR,0.01,2,2,0,0.9634,0.9932,0.4708
20,4x3,binom_5_05,RNK,0.01,2,2,0,0.9554,0.9906,0.3212
20,4x3,binom_5_05,ART,0.01,2,2,0,0.9494,0.9756,0.9074
20,4x3,binom_5_05,INT,0.01,2,2,0,0.9642,0.9934,0.4176
20,4x3,binom_5_05,PAR,0.05,4,4,0,1,1,0.9964
20,4x3,binom_5_05,RNK,0.05,4,4,0,1,1,0.997
20,4x3,binom_5_05,ART,0.05,4,4,0,0.9986,0.9982,0.999
20,4x3,binom_5_05,INT,0.05,4,4,0,1,1,0.9976
20,4x3,binom_5_05,PAR,0.01,4,4,0,0.9998,1,0.9846
20,4x3,binom_5_05,RNK,0.01,4,4,0,0.9998,1,0.9856
20,4x3,binom_5_05,ART,0.01,4,4,0,0.9962,0.9974,0.9964
20,4x3,binom_5_05,INT,0.01,4,4,0,1,1,0.9874
20,4x3,binom_5_05,PAR,0.05,8,8,0,1,1,0.9998
20,4x3,binom_5_05,RNK,0.05,8,8,0,1,1,1
20,4x3,binom_5_05,ART,0.05,8,8,0,0.9998,0.9998,1
20,4x3,binom_5_05,INT,0.05,8,8,0,1,1,1
20,4x3,binom_5_05,PAR,0.01,8,8,0,1,1,0.999
20,4x3,binom_5_05,RNK,0.01,8,8,0,1,1,0.9992
20,4x3,binom_5_05,ART,0.01,8,8,0,0.9998,0.9996,0.9996
20,4x3,binom_5_05,INT,0.01,8,8,0,1,1,0.9994
20,4x3,binom_5_10,PAR,0.05,0,0,0,0.0504,0.0514,0.0484
20,4x3,binom_5_10,RNK,0.05,0,0,0,0.0482,0.0552,0.048
20,4x3,binom_5_10,ART,0.05,0,0,0,0.1596,0.1504,0.121
20,4x3,binom_5_10,INT,0.05,0,0,0,0.0512,0.054,0.0488
20,4x3,binom_5_10,PAR,0.01,0,0,0,0.0082,0.01,0.0106
20,4x3,binom_5_10,RNK,0.01,0,0,0,0.01,0.012,0.0116
20,4x3,binom_5_10,ART,0.01,0,0,0,0.0614,0.0576,0.0392
20,4x3,binom_5_10,INT,0.01,0,0,0,0.0086,0.011,0.0116
20,4x3,binom_5_10,PAR,0.05,0.5,0,0,0.3488,0.0518,0.0494
20,4x3,binom_5_10,RNK,0.05,0.5,0,0,0.3294,0.0514,0.0506
20,4x3,binom_5_10,ART,0.05,0.5,0,0,0.4354,0.1756,0.1312
20,4x3,binom_5_10,INT,0.05,0.5,0,0,0.3452,0.0518,0.05
20,4x3,binom_5_10,PAR,0.01,0.5,0,0,0.1644,0.0104,0.0094
20,4x3,binom_5_10,RNK,0.01,0.5,0,0,0.1502,0.0094,0.0104
20,4x3,binom_5_10,ART,0.01,0.5,0,0,0.2534,0.0718,0.0514
20,4x3,binom_5_10,INT,0.01,0.5,0,0,0.1644,0.0104,0.01
20,4x3,binom_5_10,PAR,0.05,1,0,0,0.92,0.0526,0.0578
20,4x3,binom_5_10,RNK,0.05,1,0,0,0.8982,0.052,0.0532
20,4x3,binom_5_10,ART,0.05,1,0,0,0.8828,0.2022,0.153
20,4x3,binom_5_10,INT,0.05,1,0,0,0.9192,0.0532,0.054
20,4x3,binom_5_10,PAR,0.01,1,0,0,0.7818,0.008,0.0138
20,4x3,binom_5_10,RNK,0.01,1,0,0,0.7546,0.011,0.0094
20,4x3,binom_5_10,ART,0.01,1,0,0,0.7356,0.0884,0.0604
20,4x3,binom_5_10,INT,0.01,1,0,0,0.7816,0.0088,0.0116
20,4x3,binom_5_10,PAR,0.05,2,0,0,1,0.049,0.0602
20,4x3,binom_5_10,RNK,0.05,2,0,0,1,0.0504,0.0526
20,4x3,binom_5_10,ART,0.05,2,0,0,0.9992,0.302,0.2192
20,4x3,binom_5_10,INT,0.05,2,0,0,1,0.0486,0.0564
20,4x3,binom_5_10,PAR,0.01,2,0,0,0.9998,0.0098,0.0176
20,4x3,binom_5_10,RNK,0.01,2,0,0,0.9998,0.011,0.0156
20,4x3,binom_5_10,ART,0.01,2,0,0,0.998,0.1656,0.0962
20,4x3,binom_5_10,INT,0.01,2,0,0,0.9998,0.011,0.0148
20,4x3,binom_5_10,PAR,0.05,4,0,0,1,0.0488,0.0682
20,4x3,binom_5_10,RNK,0.05,4,0,0,1,0.0556,0.0644
20,4x3,binom_5_10,ART,0.05,4,0,0,1,0.6218,0.4972
20,4x3,binom_5_10,INT,0.05,4,0,0,1,0.0504,0.0628
20,4x3,binom_5_10,PAR,0.01,4,0,0,1,0.01,0.0234
20,4x3,binom_5_10,RNK,0.01,4,0,0,1,0.0118,0.017
20,4x3,binom_5_10,ART,0.01,4,0,0,1,0.495,0.3302
20,4x3,binom_5_10,INT,0.01,4,0,0,1,0.0112,0.017
20,4x3,binom_5_10,PAR,0.05,8,0,0,1,0.0458,0.0836
20,4x3,binom_5_10,RNK,0.05,8,0,0,1,0.051,0.081
20,4x3,binom_5_10,ART,0.05,8,0,0,1,0.8806,0.787
20,4x3,binom_5_10,INT,0.05,8,0,0,1,0.0508,0.0804
20,4x3,binom_5_10,PAR,0.01,8,0,0,1,0.0102,0.0364
20,4x3,binom_5_10,RNK,0.01,8,0,0,1,0.0104,0.03
20,4x3,binom_5_10,ART,0.01,8,0,0,1,0.8296,0.6624
20,4x3,binom_5_10,INT,0.01,8,0,0,1,0.0102,0.0314
20,4x3,binom_5_10,PAR,0.05,0.5,0.5,0,0.3514,0.4918,0.0586
20,4x3,binom_5_10,RNK,0.05,0.5,0.5,0,0.3378,0.4632,0.0522
20,4x3,binom_5_10,ART,0.05,0.5,0.5,0,0.4672,0.5358,0.1794
20,4x3,binom_5_10,INT,0.05,0.5,0.5,0,0.3558,0.4888,0.0568
20,4x3,binom_5_10,PAR,0.01,0.5,0.5,0,0.1694,0.268,0.0126
20,4x3,binom_5_10,RNK,0.01,0.5,0.5,0,0.1562,0.2406,0.0118
20,4x3,binom_5_10,ART,0.01,0.5,0.5,0,0.282,0.348,0.072
20,4x3,binom_5_10,INT,0.01,0.5,0.5,0,0.1692,0.266,0.0108
20,4x3,binom_5_10,PAR,0.05,1,1,0,0.9104,0.9754,0.1428
20,4x3,binom_5_10,RNK,0.05,1,1,0,0.89,0.9652,0.0906
20,4x3,binom_5_10,ART,0.05,1,1,0,0.9076,0.9618,0.4408
20,4x3,binom_5_10,INT,0.05,1,1,0,0.9122,0.974,0.119
20,4x3,binom_5_10,PAR,0.01,1,1,0,0.7662,0.9096,0.0468
20,4x3,binom_5_10,RNK,0.01,1,1,0,0.7266,0.8844,0.0222
20,4x3,binom_5_10,ART,0.01,1,1,0,0.8012,0.8954,0.2542
20,4x3,binom_5_10,INT,0.01,1,1,0,0.7692,0.9092,0.0346
20,4x3,binom_5_10,PAR,0.05,2,2,0,1,1,0.8594
20,4x3,binom_5_10,RNK,0.05,2,2,0,0.9998,1,0.5792
20,4x3,binom_5_10,ART,0.05,2,2,0,1,0.9998,0.9746
20,4x3,binom_5_10,INT,0.05,2,2,0,1,1,0.7758
20,4x3,binom_5_10,PAR,0.01,2,2,0,0.999,1,0.6976
20,4x3,binom_5_10,RNK,0.01,2,2,0,0.9986,1,0.354
20,4x3,binom_5_10,ART,0.01,2,2,0,0.9994,0.9996,0.9264
20,4x3,binom_5_10,INT,0.01,2,2,0,0.999,1,0.5672
20,4x3,binom_5_10,PAR,0.05,4,4,0,1,1,1
20,4x3,binom_5_10,RNK,0.05,4,4,0,1,1,1
20,4x3,binom_5_10,ART,0.05,4,4,0,1,1,1
20,4x3,binom_5_10,INT,0.05,4,4,0,1,1,1
20,4x3,binom_5_10,PAR,0.01,4,4,0,1,1,1
20,4x3,binom_5_10,RNK,0.01,4,4,0,1,1,1
20,4x3,binom_5_10,ART,0.01,4,4,0,1,1,1
20,4x3,binom_5_10,INT,0.01,4,4,0,1,1,1
20,4x3,binom_5_10,PAR,0.05,8,8,0,1,1,1
20,4x3,binom_5_10,RNK,0.05,8,8,0,1,1,1
20,4x3,binom_5_10,ART,0.05,8,8,0,1,1,1
20,4x3,binom_5_10,INT,0.05,8,8,0,1,1,1
20,4x3,binom_5_10,PAR,0.01,8,8,0,1,1,1
20,4x3,binom_5_10,RNK,0.01,8,8,0,1,1,1
20,4x3,binom_5_10,ART,0.01,8,8,0,1,1,1
20,4x3,binom_5_10,INT,0.01,8,8,0,1,1,1
20,4x3,binom_5_20,PAR,0.05,0,0,0,0.0444,0.046,0.0506
20,4x3,binom_5_20,RNK,0.05,0,0,0,0.0436,0.0486,0.0504
20,4x3,binom_5_20,ART,0.05,0,0,0,0.0866,0.0858,0.0726
20,4x3,binom_5_20,INT,0.05,0,0,0,0.0434,0.0458,0.0502
20,4x3,binom_5_20,PAR,0.01,0,0,0,0.0068,0.011,0.0098
20,4x3,binom_5_20,RNK,0.01,0,0,0,0.0076,0.0104,0.0104
20,4x3,binom_5_20,ART,0.01,0,0,0,0.0234,0.025,0.0206
20,4x3,binom_5_20,INT,0.01,0,0,0,0.007,0.0108,0.0098
20,4x3,binom_5_20,PAR,0.05,0.5,0,0,0.6016,0.0564,0.0504
20,4x3,binom_5_20,RNK,0.05,0.5,0,0,0.5752,0.0536,0.0508
20,4x3,binom_5_20,ART,0.05,0.5,0,0,0.593,0.0976,0.076
20,4x3,binom_5_20,INT,0.05,0.5,0,0,0.5982,0.055,0.0498
20,4x3,binom_5_20,PAR,0.01,0.5,0,0,0.3638,0.01,0.0096
20,4x3,binom_5_20,RNK,0.01,0.5,0,0,0.343,0.0106,0.0094
20,4x3,binom_5_20,ART,0.01,0.5,0,0,0.3772,0.0298,0.0214
20,4x3,binom_5_20,INT,0.01,0.5,0,0,0.3616,0.0106,0.0094
20,4x3,binom_5_20,PAR,0.05,1,0,0,0.996,0.0524,0.057
20,4x3,binom_5_20,RNK,0.05,1,0,0,0.9946,0.0494,0.0552
20,4x3,binom_5_20,ART,0.05,1,0,0,0.9886,0.0946,0.0836
20,4x3,binom_5_20,INT,0.05,1,0,0,0.9962,0.0502,0.0566
20,4x3,binom_5_20,PAR,0.01,1,0,0,0.975,0.0084,0.0112
20,4x3,binom_5_20,RNK,0.01,1,0,0,0.9686,0.0086,0.0128
20,4x3,binom_5_20,ART,0.01,1,0,0,0.9592,0.0286,0.026
20,4x3,binom_5_20,INT,0.01,1,0,0,0.9762,0.008,0.0124
20,4x3,binom_5_20,PAR,0.05,2,0,0,1,0.0496,0.055
